name	year	occupation
Aaron Carter	1987	actor,singer,record producer,songwriter,rapper,television actor,film actor
Aaron Christian Howles	1993	actor,television actor
Aaron Cicourel	1928	university teacher,sociologist
Aaron Copland	1900	composer,conductor,pianist,music critic,film score composer,choreographer,musicologist,jazz musician,music teacher
Aaron Dodd	1948	musician
Aaron Eckhart	1968	actor,film producer,television actor,film actor
Aaron F. Perry	1815	lawyer,politician
Aaron Feinberg	1981	skateboarder,inline skater
Aaron Fletcher Stevens	1819	lawyer,politician,military officer
Aaron Fotheringham	1991	skateboarder
Aaron Fox	1976	ice hockey player
Aaron Goldberg	1974	pianist,jazz musician
Aaron Gray	1984	basketball player,basketball coach
Aaron Guzikowski	1974	screenwriter,author
Aaron H. Conrow	1824	judge,lawyer,politician
Aaron H. Cragin	1821	lawyer,politician
Aaron Harding	1805	lawyer,politician
Aaron Hernandez	1989	American football player
Aaron Hobart	1787	judge,lawyer,politician
Aaron Huey	1975	photographer,photojournalist,journalist
Aaron Jay Kernis	1960	composer,violinist,professor of music composition
Aaron Kitchell	1744	politician
Aaron Krickstein	1967	tennis player
Aaron L. Ford	1903	lawyer,politician
Aaron Lewis	1972	composer,singer,singer-songwriter,musician,guitarist
Aaron Lufkin Dennison	1812	businessperson,watchmaker
Aaron Marshall Elliott	1844	writer,university teacher,romanist,philologist,literary scholar
Aaron Matson	1770	judge,politician
Aaron McCarthy	1961	basketball coach
Aaron Miller	1971	ice hockey player
Aaron Ness	1990	ice hockey player
Aaron Neville	1941	singer,musician,recording artist
Aaron Norris	1951	screenwriter,actor,film director,film producer,karateka,film actor
Aaron Ogden	1756	lawyer,politician
Aaron Olsen	1978	sport cyclist
Aaron P. Dworkin	1970	violinist,music teacher
Aaron Palushaj	1989	ice hockey player
Aaron Parks	1983	pianist,jazz musician
Aaron Paul	1979	actor,television producer,executive producer,voice actor,film producer,television actor,film actor
Aaron Peirsol	1983	swimmer
Aaron Rochin	2000	engineer,audio engineer
Aaron Rodgers	1983	American football player
Aaron Rosenberg	1912	film director,film producer,American football player
Aaron Russo	1943	entrepreneur,film director,film producer
Aaron Sachs	1923	clarinetist,saxophonist,jazz musician
Aaron Schneider	1965	screenwriter,cinematographer,film director
Aaron Schobel	1977	American football player
Aaron Schock	1981	politician,entrepreneur,business executive
Aaron Schroeder	1926	composer,songwriter
Aaron Scott	1956	composer,teacher,jazz musician
Aaron Scott	2000	biathlete
Aaron Seltzer	1974	screenwriter,writer,illustrator,film director
Aaron Shure	2000	screenwriter,author,television producer
Aaron Siskind	1903	photographer,university teacher
Aaron Sopher	1905	painter,journalist
Aaron Sorkin	1961	screenwriter,actor,writer,playwright,television producer,showrunner,film director,scenographer,film producer,film actor
Aaron Spears	1976	musician
Aaron Stanford	1976	actor,film producer,television actor,film actor
Aaron Staton	1980	stage actor,television actor,film actor
Aaron Stockard	1977	screenwriter,author
Aaron Swartz	1986	writer,businessperson,programmer,political activist,Internet activist,Wikimedian,hacktivist
Aaron T. Beck	1921	psychiatrist,university teacher,professor of medicine
Aaron T. Bliss	1837	politician
Aaron Tippin	1958	singer,musician
Aaron Tveit	1983	singer,stage actor,television actor,film actor
Aaron V. Brown	1795	lawyer,politician
Aaron Van Cleave	1987	figure skater
Aaron Weissblum	1964	board game designer
Aaron Yoo	1979	actor,stage actor,television actor,film actor
Aaron Zigman	1963	actor,composer,record producer,songwriter,film score composer,orchestrator
Aarti Mann	1978	actor,television actor,film actor
Aasif Mandvi	1966	screenwriter,stage actor,television actor,film actor
Abba P. Lerner	1903	economist,university teacher
Abbas Suan	1976	association football player
Abbey Brooks	1983	pornographic actor,model,film actor
Abbey DiGregorio	1980	actor,voice actor
Abbey Lincoln	1930	actor,songwriter,jazz singer
Abbi Fisher	1957	alpine skier
Abbie Cobb	1985	writer,stage actor,television actor,film actor
Abbie Cobb	1992	writer,stage actor,television actor,film actor
Abbie Goldberg	2000	psychologist,university teacher
Abbie Hoffman	1936	writer,politician,psychologist,human rights activist,social activist,political activist,political writer,peace activist
Abbie Neal	1918	singer,musician
Abbott Handerson Thayer	1849	naturalist,painter
Abbott Lawrence	1792	politician,diplomat
Abbott Lawrence Lowell	1856	writer,lawyer,politician,political scientist,university teacher
Abbott Lawrence Rotch	1861	balloonist,university teacher,meteorologist
Abbott Payson Usher	1883	economist,historian,university teacher,historian of technology
Abby Brammell	1979	actor,stage actor,television actor,film actor
Abby Dalton	1932	actor,television actor,film actor
Abby Hughes	1989	ski jumper
Abby Johnson	1980	writer,activist
Abby Johnston	1989	competitive diver
Abby Mann	1927	screenwriter,playwright,television producer,film director,film producer
Abby Sunderland	1993	explorer
Abby Wambach	1980	association football player,podcaster,international forum participant
Abby Wilde	1989	actor,singer,television actor,film actor
Abdi Hasan Awale Qeybdiid	1948	politician
Abdihakem Abdirahman	1977	athletics competitor,marathon runner
Abdul Wadud	1947	cellist,jazz musician
Abdurrahim Kuzu	1955	amateur wrestler
Abe Attell	1883	boxer
Abe Attell	1884	boxer
Abe Burrows	1910	screenwriter,writer,composer,singer,playwright,pianist,lyricist,theatrical director,director,librettist
Abe Duque	1968	disc jockey,musician
Abe Fortas	1910	judge,lawyer
Abe Frajndlich	1946	photographer
Abe Laboriel, Jr.	1971	drummer,musician
Abe Lyman	1897	conductor,songwriter,bandleader,jazz musician
Abe McGregor Goff	1899	lawyer,politician,lecturer
Abe Most	1920	clarinetist,saxophonist,jazz musician
Abe Saperstein	1902	coach,businessperson,basketball player,basketball coach
Abe Vigoda	1921	actor,stage actor,voice actor,television actor,film actor,dub actor
Abel Carter Wilder	1828	politician
Abel Ferrara	1951	screenwriter,screenwriter,actor,actor,film director,film director,film producer,film producer,film editor,film editor,film actor,film actor
Abel Huntington	1777	politician
Abel Kiviat	1892	baseball player,athletics competitor
Abel P. Upshur	1790	lawyer,politician,diplomat
Abelyn Broughton	1983	rower
Abem Finkel	1889	screenwriter
Abhijit Banerjee	1961	economist,university teacher
Abie Ames	1918	musician
Abiel Foster	1735	judge,politician
Abiel Wood	1772	politician
Abigail Adams	1744	writer,politician
Abigail Borah	1990	activist
Abigail Breslin	1996	actor,writer,singer,stage actor,voice actor,television actor,film actor
Abigail Fillmore	1798	politician
Abigail Folger	1943	entrepreneur,socialite,social worker
Abigail Greene Aldrich	1874	philanthropist
Abigail Johnson	1961	businessperson,chief executive officer,business executive
Abigail Padgett	1942	writer,novelist
Abigail Spears	1981	tennis player
Abigail Spencer	1981	actor,television actor,film actor
Abigail Thompson	1958	mathematician
Abijah Bigelow	1775	lawyer,politician
Abijah Gilbert	1806	politician
Abiram Chamberlain	1837	politician
Abner Biberman	1909	screenwriter,television director,film director,film actor
Abner Coburn	1803	lawyer,businessperson,politician
Abner Doubleday	1819	military officer
Abner Lacock	1770	judge,engineer,politician,civil engineer
Abner Louis Notkins	1932	immunologist
Abner Nash	1740	politician
Abner W. Sibal	1921	lawyer,politician
Abner Weyman Colgate	1838	writer,businessperson
Abner Zwillman	1904	gangster,mobster
Abraham A. Ribicoff	1910	lawyer,lawyer,politician,politician,member,member,administrator,administrator
Abraham Adrian Albert	1905	mathematician,university teacher
Abraham Ashkenasi	1934	author,political scientist,university teacher
Abraham Brill	1874	psychiatrist,translator,psychoanalyst
Abraham Cohn	1832	military personnel
Abraham Flexner	1866	scientist,scientist,biographer,biographer
Abraham Grace Merritt	1884	writer,journalist,literary critic,novelist,science fiction writer
Abraham Jacobi	1830	physician,university teacher,pediatrician
Abraham Joshua Heschel	1907	rabbi,university teacher,philosopher,Judaic scholar
Abraham Kupchik	1892	chess player
Abraham L. Brick	1860	lawyer,politician
Abraham Lincoln	1809	writer,lawyer,politician,farmer,military officer,statesperson,postmaster
Abraham Maslow	1908	psychologist,university teacher,sociologist
Abraham McClellan	1789	politician
Abraham Nott	1768	judge,lawyer,politician
Abraham Pais	1918	physicist,university teacher,historian of science,nuclear physicist
Abraham Polonsky	1910	screenwriter,lawyer,film director,novelist
Abraham Rattner	1893	artist,painter
Abraham Rencher	1798	diplomat,politician
Abraham Robinson	1918	engineer,mathematician,university teacher
Abraham S. Luchins	1914	psychologist,university teacher
Abraham Sachs	1914	mathematician,historian,university teacher,orientalist,anthropologist,historian of science,historian of mathematics,assyriologist
Abraham Samuel Goldstein	1925	university teacher
Abraham Seidenberg	1916	mathematician,university teacher,historian of mathematics
Abraham Shulman	1918	writer
Abraham Sinkov	1907	mathematician,university teacher
Abraham Ten Broeck	1734	politician
Abraham Vanderveer	1781	politician
Abraham Watkins Venable	1799	lawyer,politician
Abraham Yates, Jr.	1724	lawyer,politician
Abraham Zapruder	1905	entrepreneur,tailor,film director
Abram A. Hammond	1814	judge,lawyer
Abram Chasins	1903	writer,composer,pianist,music director,music teacher
Abram Comingo	1820	lawyer,politician
Abram Fulkerson	1834	lawyer,politician
Abram M. Scott	1785	politician
Abram Poindexter Maury	1801	lawyer,politician
Abram Trigg	1750	judge,lawyer,politician
Abram Williams	1832	politician,merchant
Abram Wilson	1973	singer,jazz musician
Absalom Harris Chappell	1801	lawyer,politician
Absalom Tatom	1742	politician
Absalom Willis Robertson	1887	lawyer,politician
Abstract Rude	2000	singer,musician,rapper
Abu Talib	1939	singer,singer-songwriter,guitarist,jazz guitarist,jazz musician
Abyss	1973	professional wrestler
Ace Frehley	1951	songwriter,guitarist
Ace Hood	1988	singer,rapper
Ace Parker	1912	baseball player,American football player
Ace Steel	1973	professional wrestler
Achmed Abdullah	1881	screenwriter,writer,novelist
Acquanetta	1921	actor,model,film actor
Adair Tishler	1996	singer,voice actor,model,television actor,film actor
Adam Arkin	1956	screenwriter,actor,television director,stage actor,film director,television actor,film actor
Adam Boyd	1746	judge,lawyer,politician
Adam Carolla	1964	screenwriter,actor,comedian,television presenter,journalist,voice actor,film director,radio personality,film producer,opinion journalist,television actor,film actor,podcaster,American football player
Adam Goldberg	1970	screenwriter,actor,composer,musician,voice actor,film director,film producer,director,film editor,television actor,film actor
Adam Hicks	1992	actor,singer,songwriter,rapper,voice actor,television actor,film actor
Adam Holzman	1958	pianist,musician
Adam Lambert	1982	actor,singer,record producer,singer-songwriter,musician,lyricist,stage actor
Adam Levine	1979	actor,composer,singer,pianist,singer-songwriter,television producer,musician,guitarist,television actor,film actor
Adam Riess	1969	astronomer,professor,physicist,astrophysicist
Adam Sandler	1966	screenwriter,actor,writer,composer,singer,comedian,television producer,musician,guitarist,executive producer,voice actor,film producer,television actor,film actor
Adam Savage	1967	actor,teacher,engineer,television presenter,sculptor,film producer,film actor,presenter
Adam Scott	1973	screenwriter,actor,television producer,television director,film producer,director,television actor,film actor,podcaster
Adam Zamoyski	1949	writer,historian,journalist,historian of Eastern Europe
Addie Byrne	1990	biathlete
Addison Emery Verrill	1839	zoologist,geologist,malacologist
Addison Farmer	1928	jazz musician
Addison G. Foster	1837	politician
Addison Gardiner	1797	judge,lawyer
Addison James	1850	politician
Addison Powell	1921	stage actor,television actor,film actor
Addison Richards	1887	actor,stage actor,television actor,film actor
Addison Richards	1902	actor,stage actor,television actor,film actor
Addison S. McClure	1839	lawyer,politician
Addison T. Smith	1862	politician
Addison Timlin	1991	actor,stage actor,television actor,film actor
Addison White	1824	politician
Adelaide Lambert	1907	swimmer,suffragist
Adele Blood	1886	actor,stage actor,film actor
Adele Girard	1913	jazz harpist
Adele Goldberg	1945	computer scientist
Adele Goldstine	1920	computer scientist,mathematician
Adlai Stevenson III	1930	lawyer,politician,military officer
Adolf Busch	1891	composer,concertmaster,music teacher
Adolf Busemann	1901	university teacher,aerospace engineer,engineer,physicist
Adolf Cluss	1825	architect,engineer
Adolf Kober	1879	writer,rabbi,historian,medievalist
Adolf Leo Oppenheim	1904	historian,university teacher,assyriologist
Adolf Rosenberger	1900	entrepreneur,merchant,racing automobile driver
Adolf Sturmthal	1903	economist,political scientist,university teacher,journalist,sociologist,opinion journalist
Adolph Alexander Weinman	1870	artist,sculptor
Adolph Baller	1909	pianist
Adolph Douai	1819	editor,journalist
Adolph Francis Alphonse Bandelier	1840	writer,archaeologist,anthropologist
Adolph Marx	1915	Catholic priest
Adolph Sutro	1830	businessperson,politician,mining engineer
Adolph von Steinwehr	1822	military officer,military officer,geographer,geographer,university teacher,university teacher
Adolphus Busch I	1839	entrepreneur
Adrenalynn	1985	actor,artist,pornographic actor
Adrian Grenier	1976	actor,composer,singer,musician,film director,film producer,television actor,film actor
Adriana Caselotti	1916	singer,voice actor,film actor
Adrianna Nicole	1977	actor,pornographic actor
Adrianne Curry	1982	actor,film producer,erotic photography model,model
Adrianne Palicki	1983	actor,voice actor,model,television actor,film actor
Adrien Brody	1973	actor,voice actor,film producer,television actor,film actor
Adrienne Ames	1907	radio personality,film actor
Adrienne Barbeau	1945	actor,writer,singer,stage actor,voice actor,model,television actor,film actor
Adrienne Frantz	1978	actor,singer,songwriter,television actor,film actor
Adrienne Rich	1929	writer,poet,essayist,peace activist,women's rights activist
Adrienne Shelly	1966	screenwriter,actor,writer,film director,film actor
Aeryn Gillern	1973	model
Afrika Bambaataa	1957	disc jockey,singer,record producer,musician,songwriter,rapper
Afroman	1974	singer,musician,rapper
Afërdita Dreshaj	1986	singer,model,beauty pageant contestant
Agnes Ayres	1891	actor,film actor
Agnes Ayres	1892	actor,film actor
Agnes Ayres	1898	actor,film actor
Agnes Bruckner	1985	actor,model,television actor,film actor
Agnes Martin	1912	painter,printmaker,drawer
Agnes Mary Mansour	1931	politician,nun,theologian,university teacher
Agnes Meyer Driscoll	1889	mathematician,cryptanalyst,cryptographer
Agnes Moorehead	1900	actor,television presenter,stage actor,voice actor,television actor,film actor
Ahmet Ertegün	1923	composer,entrepreneur,record producer,songwriter
Aida Turturro	1962	actor
Aileen Riggin	1906	swimmer,competitive diver
Aimee Garcia	1978	screenwriter,actor,voice actor,television actor,film actor
Aimee Mann	1960	actor,actor,composer,composer,singer,singer,singer-songwriter,singer-songwriter,musician,musician,guitarist,guitarist,television actor,television actor,film actor,film actor,recording artist,recording artist
Aimee Mullins	1975	actor,model,television actor,film actor,athletics competitor
Aimee Sweet	1977	pornographic actor,erotic photography model,model
Aimee Sweet	1978	pornographic actor,erotic photography model,model
Aimee Teegarden	1989	actor,film producer,model,television actor,film actor
Ainsworth Rand Spofford	1825	writer,librarian,journalist
Aisha Tyler	1970	screenwriter,actor,writer,comedian,voice actor,film director,improviser,film producer,film editor,television actor,film actor,podcaster
Ajita Wilson	1950	actor,pornographic actor
Akebono Tarō	1969	rikishi,blogger,kickboxer,mixed martial arts fighter,professional wrestler
Akon	1973	entrepreneur,singer,record producer,songwriter,philanthropist
Al Aronowitz	1928	writer,music critic,journalist,music journalist
Al Di Meola	1954	composer,guitarist,jazz guitarist,jazz musician,recording artist
Al Dubin	1891	actor,composer,songwriter,lyricist,film score composer
Al Franken	1951	screenwriter,actor,writer,politician,comedian,television producer,journalist,radio personality,television actor,film actor
Al Gore	1948	writer,businessperson,politician,journalist,financier,environmentalist,blogger,orator,climate activist,international forum participant
Al Haig	1922	pianist,jazz musician
Al Herman	1927	engineer,racing driver,Formula One driver
Al Jaffee	1921	comics artist,cartoonist,comics writer
Al Jarreau	1940	singer,singer-songwriter,percussionist,social worker,jazz musician
Al Jolson	1886	actor,singer,comedian,musician,songwriter,stage actor,film actor,jazz musician,recording artist
Al Kaline	1934	baseball player
Al Klink	1915	musician,saxophonist
Al Leiter	1965	baseball player
Al Neuharth	1924	businessperson,author,columnist,journalist
Al Oerter	1936	painter,athletics competitor
Al Pacino	1940	stage actor,film producer,television actor,film actor
Al Sears	1910	composer,conductor,bandleader,saxophonist,jazz musician
Al Shean	1868	actor,comedian
Al St. John	1892	screenwriter,actor,film director,film actor
Al St. John	1893	screenwriter,actor,film director,film actor
Al Swearengen	1845	businessperson,criminal
Alain Campbell White	1880	botanist,chess composer,chess player
Alan Alborn	1980	ski jumper
Alan Arkin	1934	screenwriter,writer,singer,musician,character actor,television director,stage actor,film director,film producer,theatrical director,children's writer,television actor,film actor,science fiction writer
Alan Ashton	1942	businessperson,computer scientist,university teacher
Alan Cumming	1965	screenwriter,actor,composer,comedian,translator,character actor,stage actor,voice actor,film director,film producer,television actor,film actor,LGBTQI+ rights activist
Alan Dershowitz	1938	screenwriter,lawyer,university teacher
Alan Goehring	1962	businessperson,poker player
Alan Greenspan	1926	politician,entrepreneur,economist,banker,jazz musician
Alan Gross	1949	activist
Alan Guth	1947	astronomer,professor,physicist,university teacher,cosmologist,science writer,non-fiction writer,theoretical physicist
Alan J. Heeger	1936	engineer,physicist,chemist,university teacher
Alan J. Pakula	1928	screenwriter,writer,film director,film producer
Alan Kay	1940	computer scientist,university teacher,programmer,jazz guitarist,jazz musician
Alan Kotok	1941	engineer,computer scientist
Alan MacDiarmid	1927	engineer,chemist,university teacher
Alan Menken	1949	composer,record producer,pianist,songwriter,film score composer
Alan Nunnelee	1958	politician,business executive
Alan Perlis	1922	computer scientist,mathematician,university teacher
Alan Shepard	1923	astronaut,entrepreneur,aircraft pilot,naval officer
Alana Beard	1982	basketball player
Alana de la Garza	1976	actor,television actor,film actor
Alanis Morissette	1974	actor,writer,composer,singer,record producer,singer-songwriter,musician,songwriter,guitarist,stage actor,film producer,television actor,film actor,recording artist
Alasdair MacIntyre	1929	professor,philosopher
Alastair G. W. Cameron	1925	astronomer,physicist,astrophysicist,university teacher,nuclear physicist
Alaura Eden	1977	pornographic actor,film producer
Alben W. Barkley	1877	judge,lawyer,politician
Albert A. Michelson	1852	physicist,military officer,university teacher
Albert Arnold Gillespie	1899	artist
Albert Augustus Pope	1843	entrepreneur
Albert Bandura	1925	psychologist,university teacher
Albert Bierstadt	1830	painter,scenographer,architectural draftsperson,photographer
Albert Bloch	1882	translator,painter,university teacher
Albert Butz	1849	engineer,inventor
Albert Claude	1898	biochemist,biochemist,academic,academic,cell biologist,cell biologist,physician,physician,chemist,chemist,biologist,biologist,university teacher,university teacher
Albert Claude	1899	biochemist,biochemist,academic,academic,cell biologist,cell biologist,physician,physician,chemist,chemist,biologist,biologist,university teacher,university teacher
Albert E. Austin	1877	politician
Albert Einstein	1879	physicist
Albert Frey	1903	architect
Albert Friedlander	1927	rabbi,pedagogue,university teacher
Albert II, Prince of Monaco	1958	politician,aristocrat,environmentalist,racing automobile driver,film actor,bobsledder,international forum participant
Albert King	1923	singer-songwriter
Albert O. Hirschman	1915	writer,economist,university teacher
Albert Pujols	1980	baseball player
Albert R. Anderson	1837	lawyer,politician
Albert R. Broccoli	1909	film producer
Albert S. Marks	1836	judge,lawyer
Albert Sabin	1906	inventor,university teacher,pathologist,immunologist,epidemiologist,virologist
Albert Salomon	1891	university teacher,sociologist
Albert Sauveur	1863	engineer,physicist,university teacher,metallurgist
Albert Sieber	1843	interpreter
Albert Szent-Györgyi	1893	physician,politician,chemist,university teacher,physiologist,biochemist,peace activist
Albert W. Jefferis	1868	lawyer,politician
Alberta Hunter	1895	singer,nurse,jazz musician
Alberto Del Rio	1977	mixed martial arts fighter,amateur wrestler,professional wrestler
Alberto Gonzales	1955	judge,lawyer,politician
Albina Osipowich	1911	swimmer
Albrecht Goetze	1897	historian,translator,university teacher,orientalist,Hittitologist,linguist
Alec Baldwin	1958	actor,comedian,character actor,stage actor,voice actor,film director,film producer,blogger,television actor,film actor,podcaster
Alec John Such	1951	businessperson,musician,guitarist,violinist,talent manager,rock musician
Alektra Blue	1983	actor,pornographic actor,erotic photography model,model,film actor
Alela Diane	1983	singer-songwriter,guitarist
Alesha Oreskovich	1972	Playboy Playmate,model
Alessandra Ambrosio	1981	model,film actor
Alex Acker	1983	basketball player
Alex Borstein	1971	screenwriter,singer,comedian,voice actor,television actor,film actor
Alex Burnett	1987	baseball player
Alex Chilton	1950	singer,record producer,singer-songwriter,musician,songwriter,guitarist
Alex D. Linz	1989	actor,writer,voice actor,film director,film producer,television actor,film actor
Alex Flinn	1966	writer,children's writer,novelist
Alex García	1961	boxer
Alex Gonzalez	1973	baseball player
Alex Groza	1926	basketball player,basketball coach
Alex Haley	1921	screenwriter,writer,military personnel,historian,biographer,journalist,novelist,genealogist
Alex Jacobowitz	1960	musician,musician,street artist,street artist,marimba player,marimba player,xylophonist
Alex Jones	1974	writer,film director,radio personality,film producer,podcaster,conspiracy theorist,anti-vaccine activist,gun rights advocate,misinformation creator
Alex Jordan	1963	pornographic actor
Alex Jordan	1967	pornographic actor
Alex McDowell	1955	production designer,film producer
Alex McQuilkin	1980	video artist
Alex Morgan	1989	writer,association football player,novelist
Alex Payne	1987	professional wrestler
Alex Pompez	1890	baseball player
Alex Shigo	1930	biologist,horticulturist
Alex Solowitz	1979	singer,television actor,film actor,actor,composer
Alex Veadov	1962	television actor,film actor
Alex Webster	1969	musician,lyricist,bass guitarist,string musician
Alexa Davalos	1982	actor,model,television actor,film actor
Alexa Glatch	1989	tennis player
Alexa Nikolas	1992	television actor,film actor
Alexa PenaVega	1988	actor,singer,television producer,voice actor,television actor,film actor,YouTuber
Alexa Rae	1980	pornographic actor,model
Alexander Archipenko	1887	photographer,graphic designer,illustrator,painter,sculptor,designer,architectural draftsperson,collagist
Alexander Asboth	1811	military officer,diplomat
Alexander Berkman	1870	writer,typographer,journalist,peace activist,autobiographer
Alexander Boarman	1839	judge,lawyer,politician
Alexander Calder	1898	photographer,illustrator,painter,sculptor,graphic artist,jewelry designer,visual artist,designer,printmaker,architectural draftsperson,drawer
Alexander Cartwright	1820	firefighter,banker,baseball player
Alexander Dallin	1924	historian,political scientist,university teacher
Alexander Emanuel Agassiz	1835	naturalist,writer,engineer,zoologist,curator,biologist,university teacher,botanist,oceanographer,ichthyologist,school superintendent,philanthropist
Alexander Golitzen	1908	scenographer,production designer,film producer
Alexander Graham Bell	1847	businessperson,engineer,professor,physicist,inventor,electrical engineer
Alexander Granach	1890	stage actor,film actor
Alexander Haig	1924	businessperson,politician,diplomat,army officer
Alexander Hamilton	1757	writer,lawyer,businessperson,military personnel,politician,economist,military officer,aide-de-camp,philosopher,slave trader
Alexander Kipnis	1891	singer,musician,opera singer
Alexander Kolowrat	1886	aircraft pilot,film director,film producer,racing automobile driver
Alexander Lebenstein	1927	merchant
Alexander Markovich Polyakov	1945	professor,physicist,theoretical physicist
Alexander Newman	1804	politician
Alexander Porter	1785	judge,lawyer,politician,farmer
Alexander Reinagle	1756	composer,pianist,organist,music teacher
Alexander Singer	1928	television director,film director,director
Alexander Singer	1932	television director,film director,director
Alexander Stepanov	1950	computer scientist
Alexander Weinstein	1897	mathematician,university teacher
Alexander Wendt	1958	political scientist,university teacher
Alexander Wetmore	1886	zoologist,ornithologist,paleontologist
Alexandra Daddario	1986	actor,model,television actor,film actor
Alexandra Danilova	1903	ballet dancer,pedagogue,choreographer,ballet teacher
Alexandra Hedison	1969	screenwriter,photographer,actor,stage actor,film director,television actor,film actor
Alexandra Mueller	1988	tennis player
Alexandra Nechita	1985	painter,sculptor,philanthropist
Alexandra Paul	1963	screenwriter,actor,athlete,film producer,model,television actor,film actor,activist
Alexandra Ripley	1934	writer,novelist
Alexandra Robbins	1976	journalist,writer
Alexandra Stevenson	1980	tennis player
Alexandre Mouton	1804	lawyer,politician
Alexandria Mills	1992	model,beauty pageant contestant
Alexandros Onassis	1948	businessperson
Alexei Abrikosov	1928	physicist,university teacher
Alexei L. Efros	1938	physicist
Alexey Pajitnov	1955	businessperson,computer scientist,mathematician,game designer,programmer
Alexi Lalas	1970	musician,association football player
Alexia Massalin	1962	engineer,computer scientist
Alexis Amore	1978	actor,nurse,pornographic actor,journalist,erotic photography model,model,film actor
Alexis Arquette	1969	musician,choreographer,television actor,film actor,LGBTQI+ rights activist
Alexis Bledel Celis	1981	actor,model,television actor,film actor
Alexis Dziena	1984	actor,television actor,film actor
Alexis Jordan	1992	actor,singer,television producer,television actor,film actor,YouTuber
Alexis Love	1988	actor,pornographic actor,model
Alexis Smith	1921	actor,singer,stage actor,television actor,film actor
Alexis Texas	1985	pornographic actor
Alfonso Thiele	1920	engineer,racing driver,Formula One driver
Alfred A. Knopf, Sr.	1892	businessperson,publisher
Alfred Bester	1913	screenwriter,writer,journalist,novelist,science fiction writer
Alfred Brauer	1894	mathematician,university teacher
Alfred C. Chapin	1848	lawyer,politician
Alfred Cumming	1802	politician
Alfred Edward Green	1889	actor,film director,film producer,film actor,film screenwriter
